img_width,img_height,img_url
500,375,https://elystria.github.io/server/images/train_bird/2007_000068.jpg
500,333,https://elystria.github.io/server/images/train_bird/2007_000363.jpg
500,375,https://elystria.github.io/server/images/train_bird/2007_000645.jpg
500,335,https://elystria.github.io/server/images/train_bird/2007_002120.jpg
500,334,https://elystria.github.io/server/images/train_bird/2007_002212.jpg
500,375,https://elystria.github.io/server/images/train_bird/2007_002403.jpg
375,500,https://elystria.github.io/server/images/train_bird/2007_002896.jpg
500,333,https://elystria.github.io/server/images/train_bird/2007_003118.jpg
500,333,https://elystria.github.io/server/images/train_bird/2007_003267.jpg
500,333,https://elystria.github.io/server/images/train_bird/2007_003330.jpg
500,375,https://elystria.github.io/server/images/train_bird/2007_003565.jpg
500,500,https://elystria.github.io/server/images/train_bird/2007_005130.jpg
499,500,https://elystria.github.io/server/images/train_bird/2007_005264.jpg
269,358,https://elystria.github.io/server/images/train_bird/2007_006490.jpg
500,333,https://elystria.github.io/server/images/train_bird/2007_006865.jpg
500,332,https://elystria.github.io/server/images/train_bird/2007_007481.jpg
500,332,https://elystria.github.io/server/images/train_bird/2007_007523.jpg
500,282,https://elystria.github.io/server/images/train_bird/2007_008085.jpg
400,500,https://elystria.github.io/server/images/train_bird/2007_008764.jpg
500,334,https://elystria.github.io/server/images/train_bird/2007_009422.jpg
500,375,https://elystria.github.io/server/images/train_bird/2007_009607.jpg
500,329,https://elystria.github.io/server/images/train_bird/2007_009759.jpg
500,375,https://elystria.github.io/server/images/train_bird/2008_000103.jpg
500,308,https://elystria.github.io/server/images/train_bird/2008_000131.jpg
500,334,https://elystria.github.io/server/images/train_bird/2008_000361.jpg
500,333,https://elystria.github.io/server/images/train_bird/2008_000400.jpg
500,490,https://elystria.github.io/server/images/train_bird/2008_000515.jpg
500,400,https://elystria.github.io/server/images/train_bird/2008_000785.jpg
500,325,https://elystria.github.io/server/images/train_bird/2008_000832.jpg
500,237,https://elystria.github.io/server/images/train_bird/2008_000861.jpg
500,413,https://elystria.github.io/server/images/train_bird/2008_001387.jpg
500,321,https://elystria.github.io/server/images/train_bird/2008_001829.jpg
500,374,https://elystria.github.io/server/images/train_bird/2008_002064.jpg
500,376,https://elystria.github.io/server/images/train_bird/2008_002073.jpg
500,419,https://elystria.github.io/server/images/train_bird/2008_002200.jpg
500,333,https://elystria.github.io/server/images/train_bird/2008_002255.jpg
500,401,https://elystria.github.io/server/images/train_bird/2008_002471.jpg
421,500,https://elystria.github.io/server/images/train_bird/2008_002970.jpg
500,334,https://elystria.github.io/server/images/train_bird/2008_003087.jpg
500,375,https://elystria.github.io/server/images/train_bird/2008_004551.jpg
500,375,https://elystria.github.io/server/images/train_bird/2008_005843.jpg
500,303,https://elystria.github.io/server/images/train_bird/2008_006481.jpg
500,281,https://elystria.github.io/server/images/train_bird/2008_006873.jpg
380,500,https://elystria.github.io/server/images/train_bird/2009_000103.jpg
500,375,https://elystria.github.io/server/images/train_bird/2009_000454.jpg
500,375,https://elystria.github.io/server/images/train_bird/2009_000503.jpg
500,375,https://elystria.github.io/server/images/train_bird/2009_000746.jpg
500,383,https://elystria.github.io/server/images/train_bird/2009_000938.jpg
331,500,https://elystria.github.io/server/images/train_bird/2009_001264.jpg
500,333,https://elystria.github.io/server/images/train_bird/2009_001283.jpg
500,375,https://elystria.github.io/server/images/train_bird/2009_001311.jpg
500,332,https://elystria.github.io/server/images/train_bird/2009_001385.jpg
408,500,https://elystria.github.io/server/images/train_bird/2009_001422.jpg
333,500,https://elystria.github.io/server/images/train_bird/2009_001693.jpg
359,500,https://elystria.github.io/server/images/train_bird/2009_001972.jpg
454,329,https://elystria.github.io/server/images/train_bird/2009_002072.jpg
500,375,https://elystria.github.io/server/images/train_bird/2009_002153.jpg
