img_width,img_height,img_url
500,375,https://elystria.github.io/server/images/train_dining_table/2007_000250.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2007_001185.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2007_001439.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2007_001609.jpg
500,334,https://elystria.github.io/server/images/train_dining_table/2007_001834.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2007_001901.jpg
333,500,https://elystria.github.io/server/images/train_dining_table/2007_002368.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2007_002668.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2007_002914.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2007_003251.jpg
500,333,https://elystria.github.io/server/images/train_dining_table/2007_003529.jpg
500,333,https://elystria.github.io/server/images/train_dining_table/2007_003668.jpg
500,332,https://elystria.github.io/server/images/train_dining_table/2007_004166.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2007_005086.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2007_005647.jpg
500,333,https://elystria.github.io/server/images/train_dining_table/2007_005790.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2007_006409.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2007_006699.jpg
500,373,https://elystria.github.io/server/images/train_dining_table/2007_007021.jpg
450,325,https://elystria.github.io/server/images/train_dining_table/2007_008072.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2007_008932.jpg
500,333,https://elystria.github.io/server/images/train_dining_table/2007_008945.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2007_009550.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2007_009901.jpg
500,371,https://elystria.github.io/server/images/train_dining_table/2008_000290.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2008_001413.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2008_002032.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2008_002079.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2008_002175.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2008_002210.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2008_002960.jpg
500,333,https://elystria.github.io/server/images/train_dining_table/2008_003774.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2008_003998.jpg
500,333,https://elystria.github.io/server/images/train_dining_table/2008_004321.jpg
500,377,https://elystria.github.io/server/images/train_dining_table/2008_004588.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2008_004776.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2008_005342.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2008_005945.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2008_005953.jpg
500,411,https://elystria.github.io/server/images/train_dining_table/2008_006482.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2008_007355.jpg
500,376,https://elystria.github.io/server/images/train_dining_table/2008_008773.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2009_000655.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2009_001095.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2009_001339.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2009_001871.jpg
333,500,https://elystria.github.io/server/images/train_dining_table/2009_001922.jpg
500,387,https://elystria.github.io/server/images/train_dining_table/2009_002613.jpg
500,374,https://elystria.github.io/server/images/train_dining_table/2009_002844.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2009_002885.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2009_003006.jpg
500,326,https://elystria.github.io/server/images/train_dining_table/2009_003317.jpg
360,270,https://elystria.github.io/server/images/train_dining_table/2009_003361.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2009_003468.jpg
500,400,https://elystria.github.io/server/images/train_dining_table/2009_003690.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2009_003961.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2009_004228.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2009_004426.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2009_004890.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2009_005016.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2009_005069.jpg
500,500,https://elystria.github.io/server/images/train_dining_table/2009_005145.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2010_000269.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2010_001131.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2010_001261.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2010_001576.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2010_001939.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2010_002032.jpg
500,333,https://elystria.github.io/server/images/train_dining_table/2010_002070.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2010_002418.jpg
500,333,https://elystria.github.io/server/images/train_dining_table/2010_002811.jpg
375,500,https://elystria.github.io/server/images/train_dining_table/2010_003157.jpg
500,373,https://elystria.github.io/server/images/train_dining_table/2010_004361.jpg
500,335,https://elystria.github.io/server/images/train_dining_table/2010_005755.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2011_000573.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2011_001139.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2011_001336.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2011_001412.jpg
500,333,https://elystria.github.io/server/images/train_dining_table/2011_001571.jpg
333,500,https://elystria.github.io/server/images/train_dining_table/2011_002488.jpg
500,374,https://elystria.github.io/server/images/train_dining_table/2011_002920.jpg
500,375,https://elystria.github.io/server/images/train_dining_table/2011_003066.jpg
